year,month,year_month,representation_status,claims_volume,no_uplift_claims,exceptional_circumstances,exceptional_injury,exceptional_circs_and_injury,liab_disp_injury,liab_admitted,liab_partial,liab_denied,settlement_volume,average_days_to_settle,open_settlements,vol_tariff_amount,avg_tariff_amount,vol_non_tariff,avg_non_tariff,vol_tariff_uplift,avg_tariff_uplift,exit_court,exit_rejected_liab,exit_removed,exit_withdrawn,total_settlement_value,avg_claim_per_settlement
2023,July,2023-07-01,Unrepresented,2640,1890,114,67,569,37,1643,10,114,1230,131,23,1184,775,522,1050,70,146,24,10,99,81,1475920,1199
2023,August,2023-08-01,Represented,20659,17790,495,986,1388,399,12020,386,1579,9031,292,555,8882,756,3764,1030,101,130,970,34,3314,3729,10604842,1174
2023,August,2023-08-01,Unrepresented,2494,1800,126,67,501,28,1565,14,107,1176,124,22,1141,804,486,1036,55,143,13,8,101,137,1428725,1214
2023,September,2023-09-01,Represented,18782,16275,444,858,1205,400,10893,315,1389,9112,299,565,8990,764,3896,1028,94,179,896,39,2207,2735,10890274,1195
2023,September,2023-09-01,Unrepresented,2416,1764,103,71,478,19,1491,13,106,1130,131,16,1098,779,472,1013,35,145,13,11,90,99,1338553,1184
2023,October,2023-10-01,Represented,20668,17992,464,806,1406,493,12073,327,1620,8854,301,598,8698,767,3800,1031,98,153,1010,24,1782,2213,10604160,1197
2023,October,2023-10-01,Unrepresented,2648,1938,126,71,513,32,1632,14,113,1215,127,15,1177,786,512,983,30,164,18,9,94,100,1433338,1179
2023,November,2023-11-01,Represented,21581,18730,514,806,1531,484,12907,364,1714,9647,304,682,9499,767,4111,1031,122,170,1030,26,1863,2078,11544914,1196
2023,November,2023-11-01,Unrepresented,2845,2058,137,89,561,27,1820,11,119,1188,129,31,1150,819,517,987,42,274,23,3,116,90,1463637,1232
2023,December,2023-12-01,Represented,17276,14967,374,738,1197,314,10670,248,1361,8790,343,540,8660,776,3753,1054,117,150,793,53,1701,1683,10693372,1216
2023,December,2023-12-01,Unrepresented,2242,1602,104,69,467,21,1437,10,102,1138,157,21,1105,793,440,1050,54,150,20,8,91,64,1346365,1183
2024,January,2024-01-01,Represented,21182,18149,500,1011,1522,463,12577,317,1720,9260,309,589,9099,762,3937,1059,98,255,1125,44,2324,2719,11127711,1201
2024,January,2024-01-01,Unrepresented,2974,2156,149,83,586,40,1832,14,140,1231,130,20,1202,798,512,996,52,137,33,10,116,97,1476272,1199
2024,February,2024-02-01,Represented,19997,17143,473,942,1439,470,11852,333,1615,9134,312,560,8993,752,3893,1056,127,98,1140,29,2206,5390,10886190,1191
2024,February,2024-02-01,Unrepresented,2597,1882,111,82,522,36,1616,18,106,1329,124,12,1277,797,587,991,52,142,31,8,117,108,1606870,1209
2024,March,2024-03-01,Represented,18769,16078,402,933,1356,447,11242,300,1573,8348,319,495,8217,774,3609,1048,117,138,1009,37,4199,4770,10158336,1216
2024,March,2024-03-01,Unrepresented,2591,1870,121,76,524,42,1547,10,124,1298,119,15,1254,788,574,1075,53,114,19,8,116,93,1611244,1241
2024,April,2024-04-01,Represented,19475,16501,477,1054,1443,455,11824,288,1711,8046,321,495,7925,785,3459,1095,128,136,1143,31,7628,3975,10026138,1246
2024,April,2024-04-01,Unrepresented,2520,1815,115,64,526,20,1578,13,95,1322,137,11,1280,779,590,1042,44,191,23,11,126,92,1620304,1225
2024,May,2024-05-01,Represented,17676,15316,396,787,1177,418,10402,318,1589,8413,323,314,8305,780,3727,1147,118,108,1266,25,3689,5439,10765513,1279
2024,May,2024-05-01,Unrepresented,2409,1744,110,65,490,22,1429,14,118,1271,142,9,1235,780,557,1047,47,211,16,10,99,108,1556396,1224
2024,June,2024-06-01,Represented,16864,14777,382,647,1058,410,9848,303,1530,7576,345,298,7445,791,3444,1154,106,149,1188,35,6198,3920,9879165,1304
2024,June,2024-06-01,Unrepresented,2522,1809,104,90,519,38,1497,21,105,1120,136,15,1075,806,523,1100,34,189,15,6,118,148,1448176,1293
2024,July,2024-07-01,Represented,20301,17436,533,989,1343,558,12125,339,1852,8484,324,423,8354,774,3672,1157,133,130,1374,301,3558,4056,10731790,1264
2024,July,2024-07-01,Unrepresented,2681,1866,110,101,604,34,1651,21,118,1163,132,19,1128,800,510,1130,29,222,17,5,107,122,1485138,1276
2024,August,2024-08-01,Represented,17587,14744,593,948,1302,470,10589,278,1787,6582,323,342,6484,804,2975,1189,100,173,1492,70,2063,3499,8767711,1332
2024,August,2024-08-01,Unrepresented,2400,1716,96,81,507,28,1420,13,136,1046,142,20,1002,765,503,1281,37,182,31,11,112,123,1417607,1355
2024,September,2024-09-01,Represented,19089,15967,599,1009,1514,558,11386,307,2032,8454,397,359,8319,786,3737,1123,116,152,1384,30,2105,2958,10753017,1271
2024,September,2024-09-01,Unrepresented,2495,1759,145,58,533,30,1533,7,92,1255,175,10,1216,793,578,1055,51,134,20,15,115,95,1580912,1259
2024,October,2024-10-01,Represented,21161,17819,795,1003,1544,593,12844,348,2284,13862,517,354,13643,783,5700,1142,165,147,1713,279,21276,21792,17216124,1241
2024,October,2024-10-01,Unrepresented,2685,1897,113,84,591,31,1622,16,122,1578,287,17,1519,767,711,1150,86,198,28,70,5514,640,1999751,1267
2024,November,2024-11-01,Represented,19513,16060,891,1015,1547,578,11852,305,2266,8583,384,293,8460,790,3655,1181,123,169,1638,38,2842,3613,11020742,1284
2024,November,2024-11-01,Unrepresented,2541,1853,105,90,493,36,1526,12,98,1128,152,13,1093,753,489,1135,37,217,24,15,289,110,1386073,1228
2024,December,2024-12-01,Represented,16761,13859,645,991,1266,486,10525,265,1961,7282,387,241,7160,776,3164,1162,84,203,1292,25,3052,3622,9249780,1270
2024,December,2024-12-01,Unrepresented,2289,1619,106,78,486,38,1398,8,113,1068,170,20,1039,753,451,1189,35,151,17,21,325,103,1323891,1239
2025,January,2025-01-01,Represented,20223,16276,830,1164,1953,755,12644,277,2425,8061,385,257,7924,775,3539,1190,106,132,1784,38,3353,4215,10366502,1286
2025,January,2025-01-01,Unrepresented,2901,1994,177,99,631,45,1794,14,132,1186,178,32,1143,770,531,1210,51,145,24,17,417,133,1530015,1290
2025,February,2025-02-01,Represented,17506,14027,705,1146,1628,690,10768,273,2337,7737,365,170,7594,760,3374,1181,105,183,1542,51,2712,3762,9775349,1263
2025,February,2025-02-01,Unrepresented,2461,1704,105,75,577,37,1505,7,110,1045,185,28,1007,776,477,1172,32,239,28,11,293,110,1348124,1290
2025,March,2025-03-01,Represented,17575,13832,816,1263,1664,790,10995,253,2377,7708,376,116,7557,759,3361,1205,102,133,1560,36,3010,3728,9799334,1271
2025,March,2025-03-01,Unrepresented,2696,1798,151,79,668,44,1676,9,132,1178,153,54,1126,691,566,1253,43,154,31,16,357,108,1493886,1268
2025,April,2025-04-01,Represented,17726,13718,844,1498,1666,814,10900,219,2688,7273,386,66,7149,742,3211,1172,99,147,1468,59,2826,3783,9082403,1248
2025,April,2025-04-01,Unrepresented,2368,1524,115,96,633,39,1400,12,127,1082,175,41,1047,729,492,1200,50,194,18,21,332,122,1363363,1260
2025,May,2025-05-01,Represented,17741,13571,810,1569,1791,720,9219,182,1975,7161,385,19,7043,739,3190,1173,79,123,1724,21,2911,3542,8956364,1250
2025,May,2025-05-01,Unrepresented,2468,1505,147,90,726,44,1302,10,93,1143,172,16,1100,726,521,1179,41,118,16,12,377,117,1417697,1240
2025,June,2025-06-01,Represented,17417,13115,919,1626,1757,183,3795,33,351,9494,609,1,9335,746,3936,1147,131,127,1611,22,2987,3690,11495139,1210
2025,June,2025-06-01,Unrepresented,2451,1342,158,137,814,19,688,1,18,1069,198,1,1022,709,513,1197,44,97,26,9,333,120,1342927,1256
