period,new_claim,stage_1_exit,stage_2_exit,exit_process,court_pack,settled_claims,general_damages
Dec-13,"56,200","16,790","1,046","10,894","1,545","16,293","£2,404.86"
Dec-14,"63,786","19,218","1,334","12,458","3,211","16,127","£2,602.18"
Dec-15,"61,982","18,031","1,071","13,981","4,874","16,206","£2,578.52"
Dec-16,"57,123","15,636","1,001","12,727","5,278","14,043","£2,739.76"
Dec-17,"48,898","11,623","1,026","11,329","5,170","11,229","£2,817.60"
Dec-18,"47,165","10,736","1,025","12,146","4,868","11,451","£2,874.14"
Dec-19,"50,791","10,850","1,145","13,349","4,741","11,731","£2,818.56"
Dec-20,"35,480","7,200",632,"23,441","3,331","7,963","£2,916.71"
Dec-21,"7,548","1,809",405,"2,980","2,162","3,267","£3,573.47"
Dec-22,"6,141","1,724",331,"2,059",822,992,"£5,366.79"
Dec-23,"5,702","1,537",332,"1,752",670,438,"£5,740.86"
Dec-24,"6,022","1,482",295,"1,791",662,633,"£6,558.45"
Feb-11,"63,216","29,094","2,043",0,450,"15,646","£1,785.89"
Feb-12,"69,809","25,242","1,739","8,982",751,"23,015","£1,956.71"
Feb-13,"72,820","24,810","1,086","12,599",879,"21,402","£2,083.04"
Feb-14,"66,834","17,588","1,080","12,395","1,803","18,398","£2,461.42"
Feb-15,"73,611","18,889","1,009","13,694","3,618","16,828","£2,581.73"
Feb-16,"71,297","17,856","1,113","15,310","5,386","16,648","£2,598.83"
Feb-17,"61,420","15,146","1,276","13,038","5,725","14,681","£2,775.30"
Feb-18,"57,340","12,337",958,"12,799","5,933","13,236","£2,809.70"
Feb-19,"56,832","10,923","1,068","13,607","5,324","12,913","£2,832.51"
Feb-20,"55,548","10,457","1,125","14,044","4,681","12,910","£2,818.53"
Feb-21,"33,533","5,957",586,"12,365","3,722","8,526","£2,887.36"
Feb-22,"7,747","1,714",344,"2,829","1,575","2,541","£3,852.34"
Feb-23,"7,481","1,754",396,"2,106",857,952,"£5,577.04"
Feb-24,"7,257","1,652",276,"2,828",612,669,"£6,031.17"
Feb-25,"6,762","1,428",327,"1,874",674,637,"£6,277.29"
Jan-11,"66,395","23,279","2,020",0,448,"13,583","£1,747.05"
Jan-12,"72,724","22,770","1,339","7,711",857,"22,313","£1,967.24"
Jan-13,"81,349","24,795","1,148","12,569",939,"23,449","£2,055.16"
Jan-14,"73,685","16,582","1,001","12,441","1,865","20,266","£2,423.05"
Jan-15,"77,212","16,556",999,"12,491","3,446","17,250","£2,606.97"
Jan-16,"69,529","15,017",869,"12,810","4,982","16,061","£2,613.65"
Jan-17,"65,085","14,979",950,"12,307","5,943","15,501","£2,756.31"
Jan-18,"64,293","12,863",991,"13,327","6,362","14,246","£2,816.76"
Jan-19,"62,424","10,965",887,"14,451","6,201","14,832","£2,851.33"
Jan-20,"60,062","10,912",998,"13,480","5,166","14,051","£2,810.60"
Jan-21,"37,948","5,980",514,"10,974","3,658","8,620","£2,897.30"
Jan-22,"8,827","1,409",232,"2,666","1,969","2,931","£3,682.64"
Jan-23,"7,407","1,491",312,"2,122","1,011","1,041","£5,712.11"
Jan-24,"7,524","1,347",246,"1,684",597,381,"£5,451.14"
Jan-25,"7,071","1,472",263,"1,803",671,709,"£6,108.56"
Jul-10,"47,904","17,692",147,0,0,"1,156","£1,266.97"
Jul-11,"64,567","24,356","2,052","5,406",934,"20,450","£1,896.71"
Jul-12,"70,976","26,065","1,674","10,933",864,"23,296","£2,007.20"
Jul-13,"72,312","18,884","1,178","12,827","1,493","22,263","£2,234.74"
Jul-14,"73,384","19,877","1,261","13,916","3,044","21,497","£2,578.16"
Jul-15,"80,276","20,368","1,034","15,874","5,289","19,705","£2,599.74"
Jul-16,"56,478","14,762","1,053","11,929","5,173","16,102","£2,689.53"
Jul-17,"58,486","13,459",980,"13,315","6,208","14,883","£2,816.97"
Jul-18,"60,276","12,678","1,141","13,714","6,829","14,065","£2,844.58"
Jul-19,"61,054","12,359","1,151","15,534","6,697","15,284","£2,818.02"
Jul-20,"39,333","6,891",796,"10,467","4,887","10,387","£2,911.73"
Jul-21,"14,981","3,835",742,"6,072","3,876","7,172","£3,031.37"
Jul-22,"7,438","1,642",328,"2,300","1,083","1,461","£4,624.21"
Jul-23,"7,309","1,852",287,"2,460",839,602,"£5,404.62"
Jul-24,"8,152","2,206",379,"2,201",716,635,"£6,282.99"
Jul-25,"7,106","1,171",218,"1,725",620,614,"£6,403.17"
Jun-10,"38,405","8,565",10,0,0,325,"£1,029.24"
Jun-11,"66,783","26,464","2,250","5,641",801,"20,923","£1,867.25"
Jun-12,"62,501","22,180","1,594","8,645",746,"20,352","£1,982.57"
Jun-13,"58,746","15,847","1,051","10,657","1,210","20,109","£2,206.32"
Jun-14,"66,521","19,235","1,171","12,515","2,408","19,345","£2,551.17"
Jun-15,"70,176","18,770","1,096","14,254","5,174","19,745","£2,576.68"
Jun-16,"68,898","17,982","1,337","14,632","6,180","18,248","£2,678.56"
Jun-17,"60,258","14,273","1,127","14,280","6,540","16,020","£2,780.17"
Jun-18,"54,618","13,928","1,249","12,895","5,926","13,687","£2,842.87"
Jun-19,"53,653","10,733",986,"13,127","5,605","13,731","£2,830.22"
Jun-20,"31,196","5,736",789,"8,447","5,114","10,486","£2,896.17"
Jun-21,"22,650","6,955",647,"9,834","4,198","8,170","£2,979.76"
Jun-22,"7,309","1,495",303,"2,271","1,052","1,740","£4,309.21"
Jun-23,"7,700","1,967",346,"2,065",819,618,"£5,368.21"
Jun-24,"6,943","1,768",277,"1,874",600,614,"£6,639.58"
Jun-25,"7,177","1,520",242,"2,124",739,757,"£6,682.65"
Mar-11,"67,667","31,396","2,433",26,750,"20,140","£1,801.13"
Mar-12,"69,037","25,697","1,779","9,379",856,"25,724","£1,983.52"
Mar-13,"90,924","23,706","1,157","13,113",985,"21,950","£2,100.97"
Mar-14,"70,411","18,066",994,"16,856","2,011","19,780","£2,506.51"
Mar-15,"80,760","20,783","1,135","15,307","4,199","19,308","£2,606.28"
Mar-16,"69,664","17,356","1,182","16,802","5,630","17,930","£2,626.02"
Mar-17,"67,677","16,901","1,237","17,751","6,677","17,634","£2,781.65"
Mar-18,"58,497","12,683","1,111","13,136","6,066","14,200","£2,823.95"
Mar-19,"58,032","11,620","1,040","13,401","6,083","14,403","£2,826.17"
Mar-20,"49,387","10,953","1,124","14,964","5,469","14,999","£2,824.37"
Mar-21,"31,614","6,574",661,"11,707","4,738","10,158","£2,925.88"
Mar-22,"8,287","1,646",376,"3,008","1,649","2,556","£3,982.04"
Mar-23,"7,473","1,912",397,"2,297","1,006",890,"£5,130.41"
Mar-24,"6,810","1,581",294,"2,675",522,584,"£5,721.07"
Mar-25,"6,794","1,314",291,"1,935",680,752,"£6,127.35"
May-10,"10,467",494,0,0,0,3,"£1,216.67"
May-11,"64,722","23,751","2,030","4,614",710,"18,560","£1,871.74"
May-12,"71,005","25,541","1,678","9,858",866,"25,577","£1,989.04"
May-13,"54,076","22,715","1,315","12,290","1,231","22,072","£2,136.02"
May-14,"66,045","17,512","1,065","12,127","2,290","18,710","£2,566.47"
May-15,"68,358","16,848",882,"12,705","4,038","17,453","£2,587.50"
May-16,"64,625","17,045","1,135","13,568","5,453","17,185","£2,651.02"
May-17,"59,933","14,513","1,036","13,501","6,371","15,949","£2,802.76"
May-18,"59,388","12,448","1,112","12,987","6,217","14,703","£3,081.43"
May-19,"57,900","11,198",972,"13,947","5,936","14,568","£2,816.67"
May-20,"23,081","4,854",799,"6,744","4,641","10,814","£2,903.05"
May-21,"38,009","5,755",617,"10,188","3,820","7,652","£2,952.91"
May-22,"7,916","1,614",312,"2,646","1,209","1,879","£4,166.93"
May-23,"6,856","1,704",321,"1,895",858,563,"£5,166.99"
May-24,"7,112","1,802",327,"2,206",656,582,"£6,404.66"
May-25,"6,989","1,313",213,"1,947",656,662,"£6,028.32"
Nov-10,"65,286","28,094","2,227",0,"2,083","10,021","£1,748.92"
Nov-11,"71,093","26,428","1,536","7,470",845,"23,022","£1,950.82"
Nov-12,"77,992","26,162","1,396","12,674",903,"24,170","£2,016.71"
Nov-13,"66,498","17,041",844,"11,525","1,642","20,238","£2,390.61"
Nov-14,"70,993","19,049","1,000","13,162","3,222","17,385","£2,600.94"
Nov-15,"72,511","18,096","1,121","15,377","4,928","17,071","£2,577.99"
Nov-16,"69,748","17,288","1,191","15,104","6,191","16,750","£2,736.74"
Nov-17,"61,460","13,122",932,"13,879","6,447","14,701","£2,794.40"
Nov-18,"62,328","12,214","1,072","14,361","6,309","15,047","£2,864.33"
Nov-19,"59,559","10,749","1,051","14,884","5,362","13,522","£2,831.39"
Nov-20,"40,610","8,015",621,"11,071","3,744","8,775","£2,897.15"
Nov-21,"9,900","2,021",447,"3,901","3,046","4,635","£3,427.81"
Nov-22,"8,323","1,937",320,"2,529","1,187","1,279","£5,596.78"
Nov-23,"7,723","1,978",350,"2,114",741,568,"£5,398.17"
Nov-24,"6,967","1,630",318,"2,117",737,704,"£6,341.93"
Oct-10,"57,967","25,210","1,628",0,"1,708","7,175","£1,734.37"
Oct-11,"68,190","24,463","1,471","6,639",842,"21,088","£1,953.44"
Oct-12,"81,060","28,025","1,967","12,507",932,"23,908","£1,994.96"
Oct-13,"68,731","18,794","1,043","12,043","1,654","21,136","£2,332.59"
Oct-14,"79,518","21,428","1,207","15,580","3,289","19,161","£2,589.86"
Oct-15,"74,685","18,162","1,457","15,147","5,291","17,302","£2,703.68"
Oct-16,"67,121","15,788","1,075","13,713","6,026","16,012","£2,866.47"
Oct-17,"61,785","13,796",956,"14,047","6,130","14,784","£2,795.82"
Oct-18,"65,721","12,981","1,088","15,184","6,383","14,896","£2,866.76"
Oct-19,"62,524","11,917","1,301","15,721","5,699","14,561","£2,820.70"
Oct-20,"45,723","8,593",744,"12,512","3,926","9,043","£2,901.88"
Oct-21,"10,160","2,214",467,"3,966","3,261","4,965","£3,195.45"
Oct-22,"7,613","1,769",331,"2,260","1,122","1,298","£5,408.31"
Oct-23,"7,827","1,958",341,"2,240",811,541,"£5,448.17"
Oct-24,"8,231","2,049",365,"2,421",749,735,"£6,612.13"
Sep-10,"56,926","23,485","1,249",0,335,"5,579","£1,598.79"
Sep-11,"65,785","24,177","1,658","5,963",867,"21,695","£1,928.95"
Sep-12,"67,342","22,271","1,666","10,583","3,482","20,228","£1,992.97"
Sep-13,"62,232","16,494",958,"11,238","1,530","19,131","£2,309.03"
Sep-14,"73,636","20,030","1,121","14,188","3,069","18,363","£2,576.40"
Sep-15,"72,534","18,397","1,054","14,929","4,965","17,064","£2,578.39"
Sep-16,"66,198","16,545","1,161","14,064","6,189","16,274","£2,718.30"
Sep-17,"56,910","12,920",933,"12,504","6,197","14,023","£2,789.77"
Sep-18,"54,918","10,917",884,"12,123","5,765","12,989","£2,834.58"
Sep-19,"56,733","11,272","1,112","13,840","5,703","13,407","£2,845.41"
Sep-20,"43,018","7,707",690,"10,521","4,383","8,584","£2,915.72"
Sep-21,"10,692","2,376",568,"4,177","3,474","6,090","£3,144.48"
Sep-22,"7,636","1,760",409,"2,317","1,035","1,316","£4,533.91"
Sep-23,"6,995","1,775",341,"1,866",774,474,"£5,040.88"
Sep-24,"7,355","1,743",315,"1,988",652,613,"£6,457.27"
