year,month,injury_duration,settlement_volume
2024,January,3-6 Mths,3259
2024,January,6-9 Mths,2305
2024,January,9-12 Mths,764
2024,January,12-15 Mths,166
2024,January,15-18 Mths,93
2024,January,18-24 Mths,51
2024,February,0-3 Mths,856
2024,February,3-6 Mths,3379
2024,February,6-9 Mths,2239
2024,February,9-12 Mths,760
2024,February,12-15 Mths,156
2024,February,15-18 Mths,87
2024,February,18-24 Mths,61
2024,March,0-3 Mths,844
2024,March,3-6 Mths,3023
2024,March,6-9 Mths,2159
2024,March,9-12 Mths,758
2024,March,12-15 Mths,146
2024,March,15-18 Mths,76
2024,March,18-24 Mths,59
2024,April,0-3 Mths,843
2024,April,3-6 Mths,2954
2024,April,6-9 Mths,2034
2024,April,9-12 Mths,697
2024,April,12-15 Mths,147
2024,April,15-18 Mths,102
2024,April,18-24 Mths,79
2024,May,0-3 Mths,874
2024,May,3-6 Mths,3033
2024,May,6-9 Mths,2082
2024,May,9-12 Mths,753
2024,May,12-15 Mths,164
2024,May,15-18 Mths,103
2024,May,18-24 Mths,70
2024,June,0-3 Mths,771
2024,June,3-6 Mths,2736
2024,June,6-9 Mths,1828
2024,June,9-12 Mths,690
2024,June,12-15 Mths,123
2024,June,15-18 Mths,103
2024,June,18-24 Mths,65
2024,July,0-3 Mths,869
2024,July,3-6 Mths,3181
2024,July,6-9 Mths,2135
2024,July,9-12 Mths,688
2024,July,12-15 Mths,153
2024,July,15-18 Mths,86
2024,July,18-24 Mths,86
2024,August,0-3 Mths,683
2024,August,3-6 Mths,2370
2024,August,6-9 Mths,1650
2024,August,9-12 Mths,564
2024,August,12-15 Mths,148
2024,August,15-18 Mths,93
2024,August,18-24 Mths,64
2024,September,0-3 Mths,877
2024,September,3-6 Mths,2855
2024,September,6-9 Mths,1911
2024,September,9-12 Mths,632
2024,September,12-15 Mths,151
2024,September,15-18 Mths,96
2024,September,18-24 Mths,71
2024,October,0-3 Mths,1268
2024,October,3-6 Mths,4463
2024,October,6-9 Mths,2978
2024,October,9-12 Mths,1035
2024,October,12-15 Mths,210
2024,October,15-18 Mths,130
2024,October,18-24 Mths,92
2024,November,0-3 Mths,890
2024,November,3-6 Mths,3050
2024,November,6-9 Mths,1928
2024,November,9-12 Mths,677
2024,November,12-15 Mths,160
2024,November,15-18 Mths,99
2024,November,18-24 Mths,75
2024,December,0-3 Mths,756
2024,December,3-6 Mths,2653
2024,December,6-9 Mths,1520
2024,December,9-12 Mths,557
2024,December,12-15 Mths,137
2024,December,15-18 Mths,88
2024,December,18-24 Mths,54
2025,January,0-3 Mths,772
2025,January,3-6 Mths,2996
2025,January,6-9 Mths,1691
2025,January,9-12 Mths,608
2025,January,12-15 Mths,148
2025,January,15-18 Mths,77
2025,January,18-24 Mths,61
2025,February,0-3 Mths,812
2025,February,3-6 Mths,3046
2025,February,6-9 Mths,1503
2025,February,9-12 Mths,543
2025,February,12-15 Mths,133
2025,February,15-18 Mths,83
2025,February,18-24 Mths,53
2025,March,0-3 Mths,825
2025,March,3-6 Mths,3083
2025,March,6-9 Mths,1440
2025,March,9-12 Mths,475
2025,March,12-15 Mths,138
2025,March,15-18 Mths,65
2025,March,18-24 Mths,73
2025,April,0-3 Mths,809
2025,April,3-6 Mths,2980
2025,April,6-9 Mths,1259
2025,April,9-12 Mths,477
2025,April,12-15 Mths,106
2025,April,15-18 Mths,73
2025,April,18-24 Mths,60
2025,May,0-3 Mths,772
2025,May,3-6 Mths,3059
2025,May,6-9 Mths,1299
2025,May,9-12 Mths,468
2025,May,12-15 Mths,108
2025,May,15-18 Mths,69
2025,May,18-24 Mths,53
2025,June,0-3 Mths,897
2025,June,3-6 Mths,3783
2025,June,6-9 Mths,1578
2025,June,9-12 Mths,533
2025,June,12-15 Mths,139
2025,June,15-18 Mths,100
2025,June,18-24 Mths,90
2025,July,0-3 Mths,773
2025,July,3-6 Mths,3435
2025,July,6-9 Mths,1219
2025,July,9-12 Mths,456
2025,July,12-15 Mths,118
2025,July,15-18 Mths,76
2025,July,18-24 Mths,59
2025,August,0-3 Mths,646
2025,August,3-6 Mths,2661
2025,August,6-9 Mths,1096
2025,August,9-12 Mths,381
2025,August,12-15 Mths,82
2025,August,15-18 Mths,50
2025,August,18-24 Mths,65
